year,month,day,amount,destination,food_type,food_source
2012,4,23,3632,Charity,Mulberries,"F210,F356,F437,F438,F439,F440,F441,F442"
2012,4,23,4000,Charity,Radishes,DogHead
2012,4,23,2530,Charity,Oyster Mushrooms,DogHead
2012,4,30,1150,Ethel,Oyster Mushrooms,DogHead
2012,4,30,5380,Ethel,Mulberries,"F438,F437,F356"
2012,4,30,514,McLendon,Turnips,DogHead
2012,4,30,190,McLendon,Beets,DogHead
2012,4,30,1120,McLendon,Daikon,DogHead
2012,4,30,138,McLendon,Radishes,DogHead
2012,5,6,5792,Charity,Serviceberries,"F248,F249,F250,F251,F252,F253,F254,F263"
2012,5,13,1250,Charity,Radishes,DogHead
2012,5,13,1470,Charity,Beets,DogHead
2012,5,13,2630,Charity,Turnips,DogHead
2012,5,13,1260,Charity,Daikon,DogHead
2012,5,13,732,Charity,Kale,DogHead
2012,5,21,234,Columbia,Lettuce,DogHead
2012,5,21,498,Columbia,Beets,DogHead
2012,5,21,480,Columbia,Kale,DogHead
2012,5,21,302,Columbia,Chard,DogHead
2012,5,28,49350,Columbia,Plums,F156
2012,5,28,13630,Ethel,Plums,F156
2012,5,28,14780,Charity,Plums,F156
2012,5,30,6854,Charity,Cabbage,DogHead
2012,5,30,6674,Charity,Lettuce,DogHead
2012,6,2,648,Charity,Lettuce,DogHead
2012,6,4,25280,Charity,Plums,F156
2012,6,4,22650,COR,Plums,F150
2012,6,18,620,Charity,Blackberries,F484
2012,6,18,8000,Crossroads,Blackberries,F484
2012,6,18,6132,Charity,Cabbage,DogHead
2012,6,18,6290,COR,Cabbage,DogHead
2012,6,21,1560,McLendon,Blackberries,F484
2012,6,26,7590,Columbia,Blackberries,F484
2012,7,3,2216,Ethel,Kohlrabi,DogHead
2012,7,3,1590,Ethel,Tomatoes,DogHead
2012,7,3,2150,Ethel,Cucumbers,X
2012,7,3,2490,Ethel,Chard,DogHead
2012,7,16,1170,Charity,Tomatoes,DogHead
2012,7,16,406,Charity,Squash,DogHead
2012,7,16,390,Charity,Cucumbers,DogHead
2012,7,16,108,Charity,Okra,DogHead
2012,7,17,64377,COR,Pears,"F18,F233,F16"
2012,7,17,21020,Charity,Pears,"F18,F233,F16"
2012,7,17,5780,Charity,Apples,F230
2012,7,19,37119,Mission,Pears,"F18,F233,F16"
2012,7,19,24098,Mission,Apples,F230
2012,7,23,1480,Charity,Squash,DogHead
2012,7,23,834,Charity,Tomatoes,DogHead
2012,7,23,550,Charity,Cucumbers,X
2012,7,23,3120,Charity,Apples,R225
2012,7,23,3790,Charity,Pears,"R286,R285"
2012,7,23,752,Charity,Figs,F139
2012,7,25,51210,Mission,Pears,"R286,R285"
2012,7,25,46810,Mission,Apples,"F240,R225,F230"
2012,7,29,834,Charity,Carrots,X
2012,7,29,1640,Charity,Kale,DogHead
2012,7,29,1840,Charity,Squash,DogHead
2012,7,29,196,Charity,Tomatoes,DogHead
2012,7,29,2500,Charity,Onions,DogHead
2012,7,29,1000,Charity,Chard,DogHead
2012,7,29,2190,Charity,Daikon,DogHead
2012,7,31,5630,Ethel,Figs,"R284,R350"
2012,8,6,1480,Charity,Tomatoes,DogHead
2012,8,6,31030,Charity,Pears,"R293,R286,R285,R351"
2012,8,7,114340,Crossroads,Pears,"R293,R286,R285,R351"
2012,8,7,13810,Crossroads,Apples,"R327,R115"
2012,8,8,2530,Charity,Tomatoes,DogHead
2012,8,8,840,Charity,Zucchini,DogHead
2012,8,8,390,Charity,Squash,DogHead
2012,8,12,2930,Clifton,Figs,R322
2012,8,19,31326,Wonderland,Pears,X
2012,8,19,2043,Wonderland,Muscadines,X
2012,8,22,82759,Mission,Apples,F247
2012,8,22,29106,COR,Apples,F247
2012,8,23,55183,Charity,Apples,F247
2012,8,23,83785,Trinity,Apples,F247
2012,8,23,27526,McLendon,Apples,F247
2012,8,23,27444,Columbia,Apples,F247
2012,8,23,1130,Charity,Sweet Potatoes,DogHead
2012,8,23,2330,Charity,Tomatoes,DogHead
2012,8,23,814,Charity,Cucumbers,DogHead
2012,8,23,210,Charity,Okra,DogHead
2012,8,23,60,Charity,Squash,DogHead
2012,8,23,146056,Crossroads,Apples,F247
2012,8,27,276,Charity,Cucumbers,DogHead
2012,8,27,566,Charity,Squash,DogHead
2012,8,27,158,Charity,Okra,DogHead
2012,8,27,2100,Charity,West Indian Gherkin,DogHead
2012,8,27,2790,Charity,Tomatoes,DogHead
2012,8,27,516,Charity,Eggplant,DogHead
2012,8,27,17400,Charity,Pears,R352